Epoch,Loss
0,132.8770294189453
1,83.8643569946289
2,33.48696517944336
3,20.26497459411621
4,13.32170295715332
5,9.147353172302246
6,7.319976329803467
7,5.8351731300354
8,5.191135883331299
9,4.232503414154053
10,3.98272442817688
11,3.7967588901519775
12,3.6006133556365967
13,3.4129605293273926
14,3.281984329223633
15,3.144961357116699
16,2.9210205078125
17,2.816119432449341
18,2.7428040504455566
19,2.6694562435150146
20,2.6101057529449463
21,2.5586140155792236
22,2.5075409412384033
23,2.4606857299804688
24,2.4139516353607178
25,2.367173910140991
26,2.305582284927368
27,2.262857675552368
28,2.224032402038574
29,2.1865570545196533
30,2.1518561840057373
31,2.12692928314209
32,2.1073203086853027
33,2.0893912315368652
34,2.0723750591278076
35,2.056140422821045
36,2.040334939956665
37,2.024648666381836
38,2.0087532997131348
39,1.992169976234436
40,1.9756442308425903
41,1.9609715938568115
42,1.9464225769042969
43,1.9313929080963135
44,1.9172471761703491
45,1.9047119617462158
46,1.892591118812561
47,1.8807919025421143
48,1.8693455457687378
49,1.8583552837371826
50,1.8478584289550781
51,1.8379696607589722
52,1.8286739587783813
53,1.820095181465149
54,1.812218189239502
55,1.8050864934921265
56,1.7987027168273926
57,1.7929465770721436
58,1.7876890897750854
59,1.7828450202941895
60,1.7784234285354614
61,1.7744970321655273
62,1.7711175680160522
63,1.7682234048843384
64,1.7656508684158325
65,1.763141393661499
66,1.7604668140411377
67,1.7575397491455078
68,1.754387378692627
69,1.751113772392273
70,1.7478150129318237
71,1.7445603609085083
72,1.7413686513900757
73,1.7382386922836304
74,1.7351490259170532
75,1.7320860624313354
76,1.729056477546692
77,1.7260829210281372
78,1.7231999635696411
79,1.7204289436340332
80,1.717746615409851
81,1.7151190042495728
82,1.7125493288040161
83,1.7100276947021484
84,1.7075245380401611
85,1.7050338983535767
86,1.7025742530822754
87,1.700161099433899
88,1.6978000402450562
89,1.6955384016036987
90,1.6934105157852173
91,1.6914355754852295
92,1.6896305084228516
93,1.6880013942718506
94,1.6865354776382446
95,1.6852190494537354
96,1.6840293407440186
97,1.6829456090927124
98,1.6819431781768799
99,1.6810129880905151
100,1.6801438331604004
101,1.679325819015503
102,1.6785527467727661
103,1.6778156757354736
104,1.6771106719970703
105,1.6764355897903442
106,1.6757842302322388
107,1.6751576662063599
108,1.6745529174804688
109,1.6739691495895386
110,1.6734046936035156
111,1.672859787940979
112,1.6723339557647705
113,1.671826720237732
114,1.6713377237319946
115,1.670865535736084
116,1.6704097986221313
117,1.6699689626693726
118,1.6695417165756226
119,1.6691253185272217
120,1.6687194108963013
121,1.6683242321014404
122,1.6679378747940063
123,1.6675610542297363
124,1.6671923398971558
125,1.6668307781219482
126,1.6664767265319824
127,1.666129469871521
128,1.6657873392105103
129,1.665451169013977
130,1.6651198863983154
131,1.6647942066192627
132,1.6644738912582397
133,1.6641589403152466
134,1.66385018825531
135,1.6635476350784302
136,1.6632513999938965
137,1.6629608869552612
138,1.6626760959625244
139,1.6623975038528442
140,1.662124514579773
141,1.6618565320968628
142,1.6615935564041138
143,1.6613359451293945
144,1.6610839366912842
145,1.6608368158340454
146,1.6605944633483887
147,1.660356879234314
148,1.6601232290267944
149,1.659894347190857
150,1.6596691608428955
151,1.659447431564331
152,1.6592289209365845
153,1.6590131521224976
154,1.6588008403778076
155,1.6585912704467773
156,1.6583858728408813
157,1.6581828594207764
158,1.657982587814331
159,1.6577852964401245
160,1.6575908660888672
161,1.6574000120162964
162,1.6572117805480957
163,1.6570264101028442
164,1.656843900680542
165,1.6566640138626099
166,1.6564866304397583
167,1.6563116312026978
168,1.6561388969421387
169,1.655967354774475
170,1.6557977199554443
171,1.655630111694336
172,1.6554639339447021
173,1.6552999019622803
174,1.6551376581192017
175,1.6549774408340454
176,1.6548197269439697
177,1.6546640396118164
178,1.654510498046875
179,1.6543585062026978
180,1.654208779335022
181,1.654060959815979
182,1.6539148092269897
183,1.6537708044052124
184,1.653628945350647
185,1.6534887552261353
186,1.6533507108688354
187,1.6532150506973267
188,1.6530811786651611
189,1.6529490947723389
190,1.6528185606002808
191,1.6526894569396973
192,1.6525620222091675
193,1.6524361371994019
194,1.6523115634918213
195,1.652188777923584
196,1.652066946029663
197,1.6519471406936646
198,1.6518282890319824
199,1.6517107486724854
200,1.6515942811965942
