Epoch,Loss
0,993.4888305664062
1,567.132080078125
2,181.69277954101562
3,106.49693298339844
4,67.69905853271484
5,36.893287658691406
6,28.78817367553711
7,21.41722297668457
8,15.730152130126953
9,13.227381706237793
10,10.309151649475098
11,8.90881061553955
12,8.518481254577637
13,7.9125518798828125
14,7.319889068603516
15,6.861821174621582
16,5.663227558135986
17,5.4666900634765625
18,5.294188976287842
19,5.142066955566406
20,5.003450870513916
21,4.874537944793701
22,4.751710414886475
23,4.631827354431152
24,4.511779308319092
25,4.388729572296143
26,4.261944770812988
27,4.137828350067139
28,4.024770736694336
29,3.9151275157928467
30,3.805830717086792
31,3.6960062980651855
32,3.5846800804138184
33,3.4699368476867676
34,3.345604658126831
35,3.189636707305908
36,2.901756763458252
37,2.753326416015625
38,2.735452175140381
39,2.7058300971984863
40,2.6440515518188477
41,2.538806200027466
42,2.4942336082458496
43,2.4092965126037598
44,2.3547770977020264
45,2.32704496383667
46,2.319629669189453
47,2.31874942779541
48,2.3055977821350098
49,2.2752246856689453
50,2.2340359687805176
51,2.1928603649139404
52,2.1592140197753906
53,2.1317031383514404
54,2.1035687923431396
55,2.070169687271118
56,2.030918598175049
57,1.9892579317092896
58,1.949471116065979
59,1.9115337133407593
60,1.8765627145767212
61,1.8473879098892212
62,1.8239264488220215
63,1.80325448513031
64,1.7832890748977661
65,1.7662416696548462
66,1.7470591068267822
67,1.7191925048828125
68,1.6852636337280273
69,1.6539199352264404
70,1.6271772384643555
71,1.6069554090499878
72,1.5912123918533325
73,1.5775848627090454
74,1.5648503303527832
75,1.5523908138275146
76,1.5396956205368042
77,1.5269893407821655
78,1.5144662857055664
79,1.5022144317626953
80,1.4903870820999146
81,1.4791399240493774
82,1.468691110610962
83,1.459215760231018
84,1.4507843255996704
85,1.4432600736618042
86,1.4363362789154053
87,1.4295989274978638
88,1.4226882457733154
89,1.4154460430145264
90,1.4079678058624268
91,1.4004344940185547
92,1.392983078956604
93,1.3857364654541016
94,1.378791332244873
95,1.3721998929977417
96,1.3659253120422363
97,1.3598524332046509
98,1.3538521528244019
99,1.347845196723938
100,1.341820240020752
101,1.3358149528503418
102,1.3298804759979248
103,1.3240559101104736
104,1.3183437585830688
105,1.3127405643463135
106,1.3072493076324463
107,1.3018710613250732
108,1.2966217994689941
109,1.2914994955062866
110,1.2864911556243896
111,1.2815704345703125
112,1.2767084836959839
113,1.271891474723816
114,1.267126202583313
115,1.2624269723892212
116,1.2578065395355225
117,1.2532702684402466
118,1.248816728591919
119,1.2444381713867188
120,1.2401388883590698
121,1.2359187602996826
122,1.231777310371399
123,1.2277095317840576
124,1.2237060070037842
125,1.2197445631027222
126,1.2158364057540894
127,1.2120193243026733
128,1.2082629203796387
129,1.2045273780822754
130,1.2008841037750244
131,1.1973079442977905
132,1.1938029527664185
133,1.190383791923523
134,1.187061071395874
135,1.1838562488555908
136,1.1808357238769531
137,1.1780530214309692
138,1.1753981113433838
139,1.1728270053863525
140,1.1703039407730103
141,1.1678133010864258
142,1.1653389930725098
143,1.1628367900848389
144,1.160256028175354
145,1.1576486825942993
146,1.1550344228744507
147,1.1524138450622559
148,1.1497881412506104
149,1.1471630334854126
150,1.144545316696167
151,1.1419283151626587
152,1.1393275260925293
153,1.1367677450180054
154,1.1342580318450928
155,1.1318162679672241
156,1.1294710636138916
157,1.12722909450531
158,1.1250933408737183
159,1.123061180114746
160,1.1211304664611816
161,1.1192986965179443
162,1.1175521612167358
163,1.1158888339996338
164,1.1143032312393188
165,1.1127896308898926
166,1.1113471984863281
167,1.1099655628204346
168,1.1086394786834717
169,1.1073671579360962
170,1.1061413288116455
171,1.1049543619155884
172,1.1038010120391846
173,1.102684497833252
174,1.1015950441360474
175,1.1005276441574097
176,1.0994800329208374
177,1.0984477996826172
178,1.0974291563034058
179,1.0964219570159912
180,1.0954257249832153
181,1.0944397449493408
182,1.093462347984314
183,1.0924922227859497
184,1.0915300846099854
185,1.090574026107788
186,1.0896248817443848
187,1.088682770729065
188,1.0877491235733032
189,1.0868241786956787
190,1.0859073400497437
191,1.0849995613098145
192,1.0840977430343628
193,1.0832024812698364
194,1.0823122262954712
195,1.081428050994873
196,1.0805493593215942
197,1.0796757936477661
198,1.0788084268569946
199,1.0779480934143066
200,1.077093482017517
