Epoch,Loss,Elapsed Time (s)
0,1087949.25,1.5953443050384521
1,468488.78125,1.4620509147644043
2,328051.21875,1.413480281829834
3,230924.390625,1.5637602806091309
4,73798.109375,1.4632675647735596
5,38145.20703125,1.4165730476379395
6,24878.865234375,1.5494740009307861
7,21583.642578125,1.4869236946105957
8,23708.068359375,1.5394861698150635
9,21125.919921875,1.4809975624084473
10,18732.97265625,1.6055207252502441
11,16435.421875,1.5215377807617188
12,15543.73828125,1.5609650611877441
13,14757.74609375,1.6101131439208984
14,13993.65234375,1.5385868549346924
15,13333.685546875,1.4649522304534912
16,13026.244140625,1.6106023788452148
17,12667.908203125,1.5115807056427002
18,12288.076171875,1.4697911739349365
19,11874.8095703125,1.4712440967559814
20,11303.091796875,1.5203840732574463
21,10454.7041015625,1.4569971561431885
22,9899.654296875,1.438675880432129
23,9534.87890625,1.4881176948547363
24,9199.2392578125,1.4108154773712158
25,8867.212890625,1.4714877605438232
26,8534.6982421875,1.5485479831695557
27,8204.6533203125,1.5142719745635986
28,7880.15283203125,1.4849815368652344
29,7561.96044921875,1.3956127166748047
30,7251.9482421875,1.5094449520111084
31,6952.28125,1.4374146461486816
32,6667.921875,1.4866204261779785
33,6399.912109375,1.5151560306549072
34,6145.43798828125,1.4650962352752686
35,5897.1591796875,1.510772705078125
36,5651.02880859375,1.55562162399292
37,5406.48681640625,1.4659619331359863
38,5172.896484375,1.4913592338562012
39,4971.97802734375,1.4578502178192139
40,4860.21923828125,1.5466868877410889
41,4829.34130859375,1.4755940437316895
42,4814.95068359375,1.4853510856628418
43,4780.53271484375,1.586984634399414
44,4719.35400390625,1.4833106994628906
45,4642.80859375,1.4960014820098877
46,4566.3466796875,1.578141450881958
47,4496.6884765625,1.4866127967834473
48,4429.21533203125,1.4880547523498535
49,4357.01953125,1.4931058883666992
50,4280.16162109375,1.5875961780548096
51,4201.353515625,1.529414415359497
52,4125.18310546875,1.5038223266601562
53,4056.74267578125,1.568173885345459
54,3999.0322265625,1.3494329452514648
55,3952.868896484375,1.5050978660583496
56,3916.618408203125,1.4320251941680908
57,3887.5732421875,1.4220058917999268
58,3863.312255859375,1.3241076469421387
59,3841.301513671875,1.5069663524627686
60,3818.29052734375,1.5634121894836426
61,3791.754150390625,1.5235309600830078
62,3760.9541015625,1.5064022541046143
63,3727.00927734375,1.5272340774536133
64,3692.07568359375,1.4969382286071777
65,3658.171142578125,1.481940746307373
66,3626.464599609375,1.4300131797790527
67,3597.260009765625,1.5870306491851807
68,3570.46337890625,1.4744093418121338
69,3545.7626953125,1.4696121215820312
70,3522.715087890625,1.5882899761199951
71,3500.76708984375,1.488389492034912
72,3479.47900390625,1.374321699142456
73,3458.588134765625,1.4059934616088867
74,3438.114501953125,1.5663812160491943
75,3418.287109375,1.569998025894165
76,3399.31640625,1.4753994941711426
77,3381.118408203125,1.6015253067016602
78,3363.203125,1.5046346187591553
79,3345.015625,1.5107054710388184
80,3326.3388671875,1.6282939910888672
81,3307.411865234375,1.5065748691558838
82,3288.747802734375,1.4876387119293213
83,3270.829833984375,1.5575966835021973
84,3253.8984375,1.5290050506591797
85,3237.908203125,1.5086607933044434
86,3222.63720703125,1.5157978534698486
87,3207.7763671875,1.5616531372070312
88,3193.132080078125,1.4780807495117188
89,3178.623779296875,1.4816844463348389
90,3164.2431640625,1.5614111423492432
91,3150.007080078125,1.4971671104431152
92,3135.959228515625,1.5020172595977783
93,3122.124267578125,1.6044495105743408
94,3108.499267578125,1.502359390258789
95,3095.07177734375,1.5132460594177246
96,3081.80419921875,1.5697531700134277
