Loaded /home/judson/Neural-Networks-in-GNC/inverted_pendulum/training/controller_base.pth as base controller
average_normalized/constant/controllers/controller_89.pth saved with loss: 5.535559177398682
average_normalized/constant/controllers/controller_90.pth saved with loss: 5.477576732635498
average_normalized/constant/controllers/controller_91.pth saved with loss: 5.418453216552734
average_normalized/constant/controllers/controller_92.pth saved with loss: 5.358047008514404
average_normalized/constant/controllers/controller_93.pth saved with loss: 5.295431137084961
average_normalized/constant/controllers/controller_94.pth saved with loss: 5.22777795791626
average_normalized/constant/controllers/controller_95.pth saved with loss: 5.145219802856445
average_normalized/constant/controllers/controller_96.pth saved with loss: 4.997491836547852
average_normalized/constant/controllers/controller_97.pth saved with loss: 4.885484218597412
average_normalized/constant/controllers/controller_98.pth saved with loss: 4.8027729988098145
average_normalized/constant/controllers/controller_99.pth saved with loss: 4.723220348358154
average_normalized/constant/controllers/controller_100.pth saved with loss: 4.643039703369141
average_normalized/constant/controllers/controller_101.pth saved with loss: 4.561824798583984
average_normalized/constant/controllers/controller_102.pth saved with loss: 4.488615989685059
average_normalized/constant/controllers/controller_103.pth saved with loss: 4.427394866943359
average_normalized/constant/controllers/controller_104.pth saved with loss: 4.3675360679626465
average_normalized/constant/controllers/controller_105.pth saved with loss: 4.306655406951904
average_normalized/constant/controllers/controller_106.pth saved with loss: 4.240554332733154
average_normalized/constant/controllers/controller_107.pth saved with loss: 4.155074119567871
average_normalized/constant/controllers/controller_108.pth saved with loss: 4.087523937225342
average_normalized/constant/controllers/controller_109.pth saved with loss: 4.03827428817749
average_normalized/constant/controllers/controller_110.pth saved with loss: 3.99094557762146
average_normalized/constant/controllers/controller_111.pth saved with loss: 3.9451541900634766
average_normalized/constant/controllers/controller_112.pth saved with loss: 3.9008193016052246
average_normalized/constant/controllers/controller_113.pth saved with loss: 3.857811689376831
average_normalized/constant/controllers/controller_114.pth saved with loss: 3.8157002925872803
average_normalized/constant/controllers/controller_115.pth saved with loss: 3.7744975090026855
average_normalized/constant/controllers/controller_116.pth saved with loss: 3.7341666221618652
average_normalized/constant/controllers/controller_117.pth saved with loss: 3.6947989463806152
average_normalized/constant/controllers/controller_118.pth saved with loss: 3.656316041946411
average_normalized/constant/controllers/controller_119.pth saved with loss: 3.618558168411255
average_normalized/constant/controllers/controller_120.pth saved with loss: 3.58121657371521
average_normalized/constant/controllers/controller_121.pth saved with loss: 3.5438358783721924
average_normalized/constant/controllers/controller_122.pth saved with loss: 3.505573034286499
average_normalized/constant/controllers/controller_123.pth saved with loss: 3.4649970531463623
average_normalized/constant/controllers/controller_124.pth saved with loss: 3.4194233417510986
average_normalized/constant/controllers/controller_125.pth saved with loss: 3.367537021636963
average_normalized/constant/controllers/controller_126.pth saved with loss: 3.3268792629241943
average_normalized/constant/controllers/controller_127.pth saved with loss: 3.2960045337677
average_normalized/constant/controllers/controller_128.pth saved with loss: 3.2701289653778076
average_normalized/constant/controllers/controller_129.pth saved with loss: 3.2467875480651855
average_normalized/constant/controllers/controller_130.pth saved with loss: 3.2252397537231445
average_normalized/constant/controllers/controller_131.pth saved with loss: 3.2051424980163574
average_normalized/constant/controllers/controller_132.pth saved with loss: 3.186323404312134
average_normalized/constant/controllers/controller_133.pth saved with loss: 3.1686110496520996
average_normalized/constant/controllers/controller_134.pth saved with loss: 3.151928663253784
average_normalized/constant/controllers/controller_135.pth saved with loss: 3.136169672012329
average_normalized/constant/controllers/controller_136.pth saved with loss: 3.1212592124938965
average_normalized/constant/controllers/controller_137.pth saved with loss: 3.1071107387542725
average_normalized/constant/controllers/controller_138.pth saved with loss: 3.093606948852539
average_normalized/constant/controllers/controller_139.pth saved with loss: 3.0806643962860107
average_normalized/constant/controllers/controller_140.pth saved with loss: 3.0682475566864014
average_normalized/constant/controllers/controller_141.pth saved with loss: 3.056366443634033
average_normalized/constant/controllers/controller_142.pth saved with loss: 3.045596122741699
average_normalized/constant/controllers/controller_143.pth saved with loss: 3.035923719406128
average_normalized/constant/controllers/controller_144.pth saved with loss: 3.0270395278930664
average_normalized/constant/controllers/controller_145.pth saved with loss: 3.0186846256256104
average_normalized/constant/controllers/controller_146.pth saved with loss: 3.010817527770996
average_normalized/constant/controllers/controller_147.pth saved with loss: 3.003373622894287
average_normalized/constant/controllers/controller_148.pth saved with loss: 2.9962880611419678
average_normalized/constant/controllers/controller_149.pth saved with loss: 2.9894936084747314
average_normalized/constant/controllers/controller_150.pth saved with loss: 2.9829318523406982
average_normalized/constant/controllers/controller_151.pth saved with loss: 2.97655987739563
average_normalized/constant/controllers/controller_152.pth saved with loss: 2.9703593254089355
average_normalized/constant/controllers/controller_153.pth saved with loss: 2.9643146991729736
average_normalized/constant/controllers/controller_154.pth saved with loss: 2.958420515060425
average_normalized/constant/controllers/controller_155.pth saved with loss: 2.952662467956543
average_normalized/constant/controllers/controller_156.pth saved with loss: 2.947028160095215
average_normalized/constant/controllers/controller_157.pth saved with loss: 2.9415042400360107
average_normalized/constant/controllers/controller_158.pth saved with loss: 2.9360709190368652
average_normalized/constant/controllers/controller_159.pth saved with loss: 2.9307186603546143
average_normalized/constant/controllers/controller_160.pth saved with loss: 2.925443649291992
average_normalized/constant/controllers/controller_161.pth saved with loss: 2.9202420711517334
average_normalized/constant/controllers/controller_162.pth saved with loss: 2.9151203632354736
average_normalized/constant/controllers/controller_163.pth saved with loss: 2.910083770751953
average_normalized/constant/controllers/controller_164.pth saved with loss: 2.905130386352539
average_normalized/constant/controllers/controller_165.pth saved with loss: 2.900256633758545
average_normalized/constant/controllers/controller_166.pth saved with loss: 2.8954641819000244
average_normalized/constant/controllers/controller_167.pth saved with loss: 2.8907523155212402
average_normalized/constant/controllers/controller_168.pth saved with loss: 2.886113166809082
average_normalized/constant/controllers/controller_169.pth saved with loss: 2.8815395832061768
average_normalized/constant/controllers/controller_170.pth saved with loss: 2.8770229816436768
average_normalized/constant/controllers/controller_171.pth saved with loss: 2.8725624084472656
average_normalized/constant/controllers/controller_172.pth saved with loss: 2.868152379989624
average_normalized/constant/controllers/controller_173.pth saved with loss: 2.8637893199920654
average_normalized/constant/controllers/controller_174.pth saved with loss: 2.859473705291748
average_normalized/constant/controllers/controller_175.pth saved with loss: 2.8551924228668213
average_normalized/constant/controllers/controller_176.pth saved with loss: 2.8509345054626465
average_normalized/constant/controllers/controller_177.pth saved with loss: 2.846712112426758
average_normalized/constant/controllers/controller_178.pth saved with loss: 2.842529773712158
average_normalized/constant/controllers/controller_179.pth saved with loss: 2.8383846282958984
average_normalized/constant/controllers/controller_180.pth saved with loss: 2.8342769145965576
average_normalized/constant/controllers/controller_181.pth saved with loss: 2.830204486846924
average_normalized/constant/controllers/controller_182.pth saved with loss: 2.8261666297912598
average_normalized/constant/controllers/controller_183.pth saved with loss: 2.822165012359619
average_normalized/constant/controllers/controller_184.pth saved with loss: 2.8182032108306885
