Epoch,Loss
0,472.03131103515625
1,504.04986572265625
2,29.25644302368164
3,32.18950271606445
4,26.751977920532227
5,20.54332733154297
6,16.877056121826172
7,15.237258911132812
8,15.5487060546875
9,14.833020210266113
10,13.61668872833252
11,12.881878852844238
12,12.53397274017334
13,12.333929061889648
14,12.169219017028809
15,12.000025749206543
16,11.815340042114258
17,11.617063522338867
18,11.408769607543945
19,11.19556713104248
20,10.980958938598633
21,10.768643379211426
22,10.563733100891113
23,10.37044906616211
24,10.19104290008545
25,10.026124954223633
26,9.878422737121582
27,9.744662284851074
28,9.616373062133789
29,9.489035606384277
30,9.357518196105957
31,9.21961784362793
32,8.136822700500488
33,8.063982009887695
34,nan
35,nan
36,nan
37,nan
