Epoch,Loss
0,618.634765625
1,493.14666748046875
2,10.827259063720703
3,8.962587356567383
4,8.473734855651855
5,8.902358055114746
6,9.928462028503418
7,8.578643798828125
8,7.087660312652588
9,6.338250160217285
10,5.902628421783447
11,5.615190505981445
12,5.408236980438232
13,5.253932476043701
14,5.122428894042969
15,5.006381511688232
16,4.906281471252441
17,4.813244342803955
18,4.724024772644043
19,4.637639045715332
20,4.553835391998291
21,4.47378396987915
22,4.39683723449707
23,4.323561191558838
24,3.7634377479553223
25,nan
26,nan
27,nan
28,nan
