Epoch,Loss
0,318.63848876953125
1,169.25245666503906
2,79.74800872802734
3,38.09654998779297
4,14.9882230758667
5,9.594549179077148
6,7.007342338562012
7,6.406463146209717
8,5.873697280883789
9,5.389927864074707
10,4.971279621124268
11,4.618086814880371
12,4.3437395095825195
13,4.11409854888916
14,3.9181137084960938
15,3.781395673751831
16,3.6985347270965576
17,3.629897117614746
18,3.570697784423828
19,3.521310329437256
20,3.4817254543304443
21,3.450798749923706
22,3.426069498062134
23,3.4050137996673584
24,3.38529896736145
25,3.365354299545288
26,3.3442628383636475
27,3.3215067386627197
28,3.2969460487365723
29,3.270700693130493
30,3.2429404258728027
31,3.2140696048736572
32,3.184558629989624
33,3.1550421714782715
34,3.1261653900146484
35,3.098613739013672
36,3.073004961013794
37,3.049896240234375
38,3.029897689819336
39,3.013157606124878
40,2.9991250038146973
41,2.9866018295288086
42,2.974242925643921
43,2.9611730575561523
44,2.9469242095947266
45,2.9313464164733887
46,2.914616823196411
47,2.897017478942871
48,2.8788821697235107
49,2.860764265060425
50,2.8432440757751465
51,2.8267440795898438
52,2.811399459838867
53,2.7970917224884033
54,2.7836153507232666
55,2.7707760334014893
56,2.7583088874816895
57,2.7460265159606934
58,2.733807325363159
59,2.7215514183044434
60,2.709258794784546
61,2.696924924850464
62,2.6846165657043457
63,2.6724672317504883
64,2.6606574058532715
65,2.649390697479248
